"_id","_labels","intersection_location","osmid","street_count","_start","_end","_type","lanes","oneway","road_highway","road_length","road_name","road_osmid"
,,,,,"3840","3839","ROAD_SEGMENT","NaN","false","service","16.600411709927556","NaN","1109678929"
,,,,,"3840","3842","ROAD_SEGMENT","NaN","false","service","9.044186402256333","NaN","1109678929"
,,,,,"3841","3842","ROAD_SEGMENT","NaN","false","service","9.562350415314826","NaN","1109678930"
,,,,,"3841","3837","ROAD_SEGMENT","NaN","false","service","17.728265216406843","NaN","1109678933"
,,,,,"3842","3840","ROAD_SEGMENT","NaN","false","service","9.044186402256333","NaN","1109678929"
,,,,,"3842","3841","ROAD_SEGMENT","NaN","false","service","9.562350415314826","NaN","1109678930"
,,,,,"3842","3838","ROAD_SEGMENT","NaN","false","service","3.1469396215607492","NaN","1109678930"
,,,,,"3843","3838","ROAD_SEGMENT","NaN","false","service","13.064406086415975","NaN","1109678930"
,,,,,"3844","3838","ROAD_SEGMENT","NaN","false","footway","103.37562964508443","NaN","1109643186"
,,,,,"3844","3848","ROAD_SEGMENT","NaN","false","footway","12.691383235967985","NaN","1109643186"
,,,,,"3844","3850","ROAD_SEGMENT","NaN","false","service","11.826411338334939","NaN","1109678933"
,,,,,"3844","3851","ROAD_SEGMENT","NaN","false","service","12.355642482532335","NaN","1109678933"
,,,,,"3845","3848","ROAD_SEGMENT","NaN","false","footway","12.77893490081738","NaN","1109678932"
,,,,,"3846","3848","ROAD_SEGMENT","NaN","false","footway","3.8075402776990726","NaN","1109643186"
,,,,,"3846","3847","ROAD_SEGMENT","NaN","false","footway","11.679153691200504","NaN","1109643186"
,,,,,"3847","3770","ROAD_SEGMENT","NaN","false","footway","2.2244284429474646","NaN","350227473"
,,,,,"3847","1308","ROAD_SEGMENT","NaN","false","footway","2.2259128330055162","NaN","350227473"
,,,,,"3847","3846","ROAD_SEGMENT","NaN","false","footway","11.679153691200504","NaN","1109643186"
,,,,,"3848","3844","ROAD_SEGMENT","NaN","false","footway","12.691383235967985","NaN","1109643186"
,,,,,"3848","3846","ROAD_SEGMENT","NaN","false","footway","3.8075402776990726","NaN","1109643186"
,,,,,"3848","3845","ROAD_SEGMENT","NaN","false","footway","12.77893490081738","NaN","1109678932"
,,,,,"3849","3837","ROAD_SEGMENT","NaN","false","service","99.29053774645598","NaN","1109678933"
,,,,,"3849","3850","ROAD_SEGMENT","NaN","false","service","18.793775949945367","NaN","1109678933"
,,,,,"3850","3849","ROAD_SEGMENT","NaN","false","service","18.793775949945367","NaN","1109678933"
,,,,,"3850","3844","ROAD_SEGMENT","NaN","false","service","11.826411338334939","NaN","1109678933"
,,,,,"3851","3844","ROAD_SEGMENT","NaN","false","service","12.355642482532335","NaN","1109678933"
